Link_Produk, Link_Gambar, Deskripsi_Singkat, Nama_Produk, Status_Stok, Label_Promo, Deskripsi_Lengkap
"https://shopee.co.id/Tempered-glass-Full-layar-Privacy-samsung-M12-M15-M11-M10-M10S-M14-M20-M20S-M21-M21S-M21-M22-M23-M01-M01S-M02-M02S-M04-M30-M30S-M31-M31-M31S-M32-M40-M51-M52-M62-M32-M42-M53-M34-M54-anti-spy-samsung-anti-gores-samsung-i.913643695.48200644220?extraParams=%7B%22display_model_id%22%3A355055263717%2C%22model_selection_logic%22%3A2%7D,""https://down-id.img.susercontent.com/file/id-11134207-8224z-mgir1vdcnu32b4"",""Tempered glass Full layar Privacy samsung M12 M15 M11 M10 M10S M14 M20 M20S M21 M21S M21 M22 M23 M01 M01S M02 M02S M04 M30 M30S M31 M31 M31S M32 M40 M51 M52 M62 M32 M42 M53 M34 M54 anti spy samsung anti gores samsung"",""13.320"",""-63%"",""4.8"",""395 terjual"""
"https://shopee.co.id/TG-Full-anti-spy-realme-C71-C75-C75X-C15-C17-C12-C11-C10-C1-C2-C2S-C3-C20-C20A-C21-C21Y-C25-C25S-C25Y-C30-C31-C33-8-8i-8S-8-Pro-9-9i-9-Pro-9Pro-10-10Pro-10S-11-7-7i-7Pro-6-6-Pro-6i-6s-5-5i-5Pro-5s-3-3Pro-3i-2-2Pro-C61-C63-C65-C67-4G-C51s-C53-C51-C55-13-i.913643695.55500614265?extraParams=%7B%22display_model_id%22%3A415055233358%2C%22model_selection_logic%22%3A2%7D,""https://down-id.img.susercontent.com/file/id-11134207-82250-mhadqbfnxdzfa9"",""TG Full anti spy realme C71 C75 C75X C15 C17 C12 C11 C10 C1 C2 C2S C3 C20 C20A C21 C21Y C25 C25S C25Y C30 C31 C33 8 8i 8S 8 Pro 9 9i 9 Pro 9Pro+10 10Pro 10S 11 7 7i 7Pro 6 6 Pro 6i 6s 5 5i 5Pro 5s 3 3Pro 3i 2 2Pro C61 C63 C65 C67 4G C51s C53 C51 C55 13"",""13.320"",""-63%"",""4.7"",""1RB+ terjual"""
"https://shopee.co.id/TG-full-layar-anti-radiasi-samsung-A01-A02-02S-A03-A03S-A04-A04S-A04E-A05-A05S-A06-A06S-A07-4G-A07-5G-A10-A10S-A10E-A11-A11X-A12-A13-A14-A15-A16-A17-4G-A17-5G-A20-A22-A22-A23-A23-A20-A20E-A20S-A21-A21S-A24-A25-A26-A33-A34-tempered-glass-samsung-i.913643695.46600489363?extraParams=%7B%22display_model_id%22%3A69947013693%2C%22model_selection_logic%22%3A2%7D,""https://down-id.img.susercontent.com/file/id-11134207-8224s-mgfzobldf1u61a"",""TG full layar anti radiasi samsung A01 A02 02S A03 A03S A04 A04S A04E A05 A05S A06 A06S A07 4G A07 5G A10 A10S A10E A11 A11X A12 A13 A14 A15 A16 A17 4G A17 5G A20 A22 A22 A23 A23 A20 A20E A20S A21 A21S A24 A25 A26 A33 A34 tempered glass samsung"",""12.960"",""-64%"",""4.9"",""1RB+ terjual"""
"https://shopee.co.id/TG-full-anti-spy-oppo-A16-A16K-A16E-A16S-A18-A33-A53-A53S-A93-A54-A54S-A74-A94-A95-A96-A35-A55-A57-A76-A77-A52-A53S-A55-12E-A11K-tempered-glass-oppo-i.913643695.22639319490?extraParams=%7B%22display_model_id%22%3A255521449618%2C%22model_selection_logic%22%3A2%7D,""https://down-id.img.susercontent.com/file/id-11134207-81ztf-mfo116r9vhmy4c"",""TG full anti spy oppo A16 A16K A16E A16S A18 A33 A53 A53S A93 A54 A54S A74 A94 A95 A96 A35 A55 A57 A76 A77 A52 A53S A55 12E A11K tempered glass oppo"",""12.150"",""-73%"",""4.8"",""4RB+ terjual"""
"https://shopee.co.id/Tempered-Glass-Anti-Spy-Vivo-S1-Pro-S1-Z1-Pro-Z1-Z3-Z5-X21-X23-X27-X30-Pro-X30-Anti-Gores-Anti-Spy-Privacy-Full-Layar-i.913643695.18878693008?extraParams=%7B%22display_model_id%22%3A156818625870%2C%22model_selection_logic%22%3A2%7D,""https://down-id.img.susercontent.com/file/id-11134207-7ras8-m4099xgj25jtaf"",""Tempered Glass Anti Spy Vivo S1 Pro S1 Z1 Pro Z1 Z3 Z5 X21 X23 X27 X30 Pro X30 Anti Gores Anti Spy Privacy Full Layar"",""12.150"",""-73%"",""4.8"",""2RB+ terjual"""
"https://shopee.co.id/Tempered-Glass-Anti-Spy-Oppo-F1S-F3-Plus-F5-F7-F9-Pro-F9-F11-Pro-F11-F15-F17-F19-F1f-F1fw-F7O-F7-Youth-F90-Anti-Gores-Anti-Spy-Full-Layar-i.913643695.23639324987?extraParams=%7B%22display_model_id%22%3A214220353504%2C%22model_selection_logic%22%3A2%7D,""https://down-id.img.susercontent.com/file/id-11134201-7r98x-lltprbzm629zc4"",""Tempered Glass Anti Spy Oppo F1S F3 Plus F5 F7 F9 Pro F9 F11 Pro F11 F15 F17 F19 F1f F1fw  F7O F7 Youth  F90 Anti Gores Anti Spy Full Layar"",""12.150"",""-73%"",""4.8"",""1RB+ terjual"""
"https://shopee.co.id/TG-full-Matte-glass-redmi-14C-13X-13-13C-12-12C-10-10A-10C-10X-9A-9C-8-8A-7-7A-6-6A-A5-5-A3-A3-PRO-A2-A4-A1-A1-8-PRO-10X-PRO-10-Prime-11-Prime-9-Prime-9C-NFC-9i-9T-Y3-Tempered-glass-anti-gores-redmi-i.913643695.41676028596?extraParams=%7B%22display_model_id%22%3A335053881108%2C%22model_selection_logic%22%3A2%7D,""https://down-id.img.susercontent.com/file/id-11134207-8224u-mgi9ycnk7mz096"",""TG full Matte glass redmi 14C 13X 13 13C 12 12C 10 10A 10C 10X 9A 9C 8 8A 7 7A 6 6A A5 5+ A3 A3 PRO A2 A4 A1 A1+ 8 PRO 10X PRO 10 Prime 11 Prime 9 Prime 9C NFC 9i 9T Y3 Tempered glass anti gores redmi"",""12.960"",""-64%"",""4.7"",""260 terjual"""
"https://shopee.co.id/Tempered-glass-anti-spy-full-vivo-Y21-Y20-Y20A-Y22-Y12-Y12A-Y12i-Y12S-Y15-Y15S-Y15A-Y16-Y17-Y17S-Y18-Y19-Y19S-Y19S-PRO-Y04-Y05Y21E-Y21T-Y22S-Y30-Y30i-Y50-Y50i-Y31-Y31S-Y32-Y33-Y33S-Y33t-Y35-Y100-Y38-Y51-Y51A-Y51S-Y51-Y51A-Y51s-Y400-anti-gores-vivo-privacy-i.913643695.55600624082?extraParams=%7B%22display_model_id%22%3A400055227516%2C%22model_selection_logic%22%3A2%7D,""https://down-id.img.susercontent.com/file/id-11134207-822wu-mlnyau0ffpxked"",""Tempered glass anti spy full vivo Y21 Y20 Y20A Y22 Y12 Y12A Y12i Y12S Y15 Y15S Y15A Y16 Y17 Y17S Y18 Y19 Y19S Y19S PRO Y04 Y05Y21E Y21T Y22S Y30 Y30i Y50 Y50i Y31 Y31S Y32 Y33 Y33S Y33t Y35 Y100 Y38 Y51 Y51A Y51S Y51 Y51A Y51s Y400 anti gores vivo privacy"",""13.320"",""-63%"",""4.8"",""617 terjual"""
"https://shopee.co.id/tempered-glass-anti-static-samsung-A16-A15-A14-A13-A25-A34-A24-A33-A32-A32-A30-A30S-A31-A22-A23-A21-A21S-A20-A20E-A20S-Anti-Gores-samsung-i.913643695.25155753855?extraParams=%7B%22display_model_id%22%3A242403274046%2C%22model_selection_logic%22%3A2%7D,""https://down-id.img.susercontent.com/file/id-11134207-7rbkb-ma5xws330om8e5"",""tempered glass anti static samsung A16 A15 A14 A13 A25 A34 A24 A33 A32 A32 A30 A30S A31 A22 A23 A21 A21S A20 A20E A20S Anti Gores samsung"",""12.300"",""-59%"",""4.9"",""4RB+ terjual"""
"https://shopee.co.id/Tempered-Glass-Anti-Spy-Oppo-A12-A12S-A15-A15S-A16-A3S-A5S-A7-A37-A57-lama-Oppo-A57-2022-(-baru)-A59-A83-A91-A1K-A11K-A31-A5-2020-A9-2020-Anti-Gores-Anti-Spy-Privacy-Full-Layar-i.913643695.23048659519?extraParams=%7B%22display_model_id%22%3A216894785577%2C%22model_selection_logic%22%3A2%7D,""https://down-id.img.susercontent.com/file/id-11134207-7r98v-lltphq6c9gv508"",""Tempered Glass Anti Spy Oppo A12 A12S A15 A15S A16 A3S A5S A7 A37 A57 lama, Oppo A57 2022 ( baru) A59 A83 A91 A1K A11K A31 A5 2020 A9 2020 Anti Gores Anti Spy Privacy Full Layar"",""11.250"",""-75%"",""4.8"",""10RB+ terjual"""
